Outlet Name,Year Founded,Website,Zip Code,Location,State,Outlet Phone Number,Outlet Email,Primary Community Served,Community Served,Editorial Focus,Language,Primary Format,Format,Frequency,Primary Scope,Scope,X (formerly Twitter),Facebook,YouTube,Direct Verification
Tiếng Việt San Jose KVVN 1430 AM,1997,https://kvvn.net/,94116,"San Francisco, CA",California,(415) 566-8808,jaime@inlanguageradio.com,Vietnamese American,Vietnamese American,,Vietnamese,Radio,"Radio,Website",24/7,Local,Local,,,,
Time Television,2014,https://timetvusa.com,11101,"Long Island City, NY",New York,(718) 482-9923,info@timetvusa.com,Bangladeshi American,"Bangladeshi American,South Asian American",,Bangla,Television,"Television,Website",24/7,Local,Local,,https://facebook.com/timetelevision,https://www.youtube.com/@timetvusa,verified
Tingis Magazine,2003,https://tingismagazine.com/,04103,"Portland, ME",Maine,(207) 221-4447,editor@tingismagazine.com,Moroccan American,"Moroccan American,Arab American",Muslim,English,Newspaper,"Newspaper,Digital Magazine,Website",Quarterly,National,National,,,https://youtube.com/c/TingisMagazine,
Titre Avval,2006,https://titreavval.com/,98074,"Sammamish, WA",Washington,(425) 753-6767,info@persianmediaonline.com,Iranian American,Iranian American,,Farsi,Magazine,"Magazine,Digital Magazine,Website",Monthly,Local,Local,,https://www.facebook.com/profile.php?id=100065492979401,https://www.youtube.com/@AriaMehr/videos,
Tofigh Ejbari & Matana,1987,,90212,"Beverly Hills, CA",California,(310) 988-0714,,Iranian American,Iranian American,,Farsi,Magazine,Magazine,Monthly,Local,Local,,,,
TRẺ Magazine,1997,https://baotreonline.com/,75044,"Garland, TX",Texas,(972) 675-4383,info@trenews.net,Vietnamese American,Vietnamese American,,Vietnamese,Magazine,"Magazine,Digital Magazine,Website",Weekly,Local,Local,https://twitter.com/BaotreonlineC,https://facebook.com/TreMagazine,https://youtube.com/channel/UCC_YZbarqqzeuc_Vsdow13g,
Triều Thành Weekly Magazine,1979,https://trieuthanhweeklymagazine.com/,95122,"San Jose, CA",California,(408) 993-1145,tuanbaotrieuthanh@yahoo.com,Vietnamese American,Vietnamese American,,Vietnamese,Magazine,"Magazine,Digital Magazine,Website",Weekly,Local,Local,,https://www.facebook.com/profile.php?id=100067020546545,,
Turkish Journal,2006,https://turkishjournal.com,11104,"New York, NY",New York,(917) 365-6087,info@turkishjournal.com,Turkish American,"Turkish American,Central Asian American",,"Turkish,English",Website,Website,Daily,National,National,https://twitter.com/turkishjournal,https://www.facebook.com/turkishjournal,https://www.youtube.com/@TurkishJournal,verified
Turkistan Times,2020,https://turkistantimes.com/,,,,,tktimes20@gmail.com,Uyghur American,Uyghur American,Human Rights,"Uyghur,Arabic,Kazakh,English",Website,"Website,Reports",Daily,Diasporic,Diasporic,https://x.com/turkistantime,https://www.facebook.com/TurkistanTimesEnglish,https://www.youtube.com/@TurkistanTimes,
Turkuaz Global,2002,https://www.turkuaz.world/,90069,"West Hollywood, CA",California,(213) 550-3290,,Turkish American,Turkish American,,"Turkish,English",Digital Magazine,"Magazine,Digital Magazine,Website",Weekly,Diasporic,Diasporic,https://twitter.com/TurkuazNews,https://www.facebook.com/turkuazmagazine/,,
TV Asahi America: Los Angeles Bureau,1996,https://tv-asahi.net/,90501,"Torrance, CA",California,(310) 787-8117,,Japanese American,Japanese American,,Japanese,Television,Television,24/7,Local,"Local,National",,,,
TV Asahi America: New York Bureau HQ),1996,https://tv-asahi.net/,10022,"New York, NY",New York,(212) 644-6300,,Japanese American,Japanese American,,Japanese,Television,Television,24/7,National,"Local,National",https://twitter.com/tvasahiamerica,,https://youtube.com/@tvasahi/about,
"TV Asahi America: Washington, D.C. Bureau",1996,https://tv-asahi.net/,20045,"Washington, D.C.","Washington, D.C.",(202) 347-2933,,Japanese American,Japanese American,,Japanese,Television,Television,24/7,Local,"Local,National",,,,
TV Asia,1993,https://tvasiausa.com/,08902,"North Brunswick, NJ",New Jersey,(732) 650-1100,info@tvasiausa.com,Indian American,"Indian American,South Asian American",,"Gujarati,Hindi,English",Television,"Television,Newsletter,Website",24/7,National,National,https://twitter.com/tvasianetwork,https://facebook.com/TVASIAUSA,https://youtube.com/user/tvasiausa,
TV ITN (aka Iran Television Network),1986,https://irantelevisionnetwork.com/,91367,"Woodland Hills, CA",California,(818) 343-1616,Jinousgoulla@gmail.com,Iranian American,Iranian American,,Farsi,Television,"Television,Website",Daily,National,"Local,National,Diasporic",,,https://www.youtube.com/c/IranTVNetwork,
TV Japan (aka NHK Cosmomedia America),1991,https://tvjapan.net/en/,10005,"New York, NY",New York,(212) 262-3377,ga@nhkcma.com,Japanese American,Japanese American,,Japanese,Television,"Television,Website",24/7,National,"Local,National,Diasporic",https://twitter.com/tvjapan?lang=en,https://www.facebook.com/TVJAPAN/,,
TV1 SAMOA,1993,https://tv1samoa.com/,,"Apia, Samoa",Samoa,685 24790,tv1sales@sbcl.ws,Samoan,"Samoan,Pacific Islander,Asian American",,"Samoan,English",Television,"Television,Website",24/7,Diasporic,"Local,Diasporic",https://twitter.com/tv1samoa,https://www.facebook.com/profile.php?id=100070228876279,https://youtube.com/c/TV1Samoa,
TV3 Samoa,2006,,,"Apia, Samoa",Samoa,685 33336,tv3manager@gmail.com,Samoan,Samoan,,"Samoan,English",Television,Television,Daily,Local,Local,,https://www.facebook.com/tv3samoa/,https://www.youtube.com/@TV3SamoaApiaBroadcasting,
U.S. FrontLine,1992,https://usfl.com/,90501,"Torrance, CA",California,(310) 294-5778,info@usfl.com,Japanese American,Japanese American,,Japanese,Magazine,"Magazine,Digital Magazine,Website",Monthly,National,National,https://twitter.com/usfrontline,https://facebook.com/usfrontline/,,
UChannel TV,2013,https://uchanneltv.us/english.html,95054,"Santa Clara, CA",California,(408) 868-2615,info@uchanneltv.us,Taiwanese American,"Chinese American,Taiwanese American,Chinese Diaspora",Christian,"Chinese (Traditional),Mandarin",Television,Television,24/7,National,National,https://twitter.com/uchanneltvus,https://facebook.com/UchannelTV/,https://youtube.com/@UChannelTV,
Urdu News,2017,https://urdunewsus.com/,,"New York, NY",New York,(917) 287-1995,urdunewsusa@gmail.com,Pakistani American,"Pakistani American,South Asian American",,"Urdu,English",Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,Local,https://twitter.com/UrduNewsUSA1,https://facebook.com/pn.com.pk/,https://www.youtube.com/@UrduNewsUSA,verified
Urdu Times,1983,https://urdutimesusa.com,11432,"Jamaica, NY",New York,(718) 297-8700,urdutimes@usa.com,Pakistani American,"Pakistani American,South Asian American",,Urdu,Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,National,"National,Diasporic",,https://facebook.com/people/Urdu-Times/100066279022599/,,verified
US Asian Post,1992,https://usasianpost.com/,91203,"Glendale, CA",California,(818) 552-4503,info@usasianpost.com,Filipino American,Filipino American,Lifestyle and Leisure,English,Website,"Newspaper,Website",Weekly,Local,Local,https://twitter.com/TheUSAsianPost,https://www.facebook.com/TheUSAsianPost/,,
US Bangla News 24,2014,https://usbanglanews24.com/,11223,"Brooklyn, NY",New York,(347) 845-4971,usbanglanews24@gmail.com,Bangladeshi American,"Bangladeshi American,South Asian American",,"Bangla,English",Website,Website,Daily,Local,Local,,https://www.facebook.com/USBanglaNewsOfficial,https://www.youtube.com/@USBanglaNews24,
US Chinese Radio on KEST 1450 AM and KXPA 1540 AM,2015,https://uschineseradio.com/,94010,"Burlingame, CA; Seattle, WA",California,(650) 652-0588,ucr@uschineseradio.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Cantonese,Mandarin,Chinese (Simplified)",Radio,Radio,Daily,Local,Local,,https://www.facebook.com/profile.php?id=100072274856331,,
US News Express,2015,https://www.unecne.com/,91773,"San Dimas, CA",California,(909) 260-6610,,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Chinese (Simplified),Chinese (Traditional),English",Website,Website,Daily,Local,Local,https://twitter.com/UNE_News,https://www.facebook.com/XINWENSUDI/,https://www.youtube.com/@usnewsexpress8788,
USA Armenian Life,1985,https://armenianlife.com/,91209,"Glendale, CA",California,(818) 241-5777,usaarmenianlife@gmail.com,Armenian American,Armenian American,,"Armenian,English",Magazine,"Magazine,Website",Weekly,Local,Local,https://twitter.com/usarmenianlife,https://www.facebook.com/USArmenianLIFE/,,
USAHRSH,2009,http://www.usahrsh.com/,11355,"Flushing, NY",New York,(631) 822-8888,usahrsh3@gmail.com,Chinese-Speaking,"Chinese American,Chinese Diaspora",,Chinese (Simplified),Website,Website,Daily,National,National,,,,
Usapang Pinoy,2021,https://usapang-pinoy.captivate.fm/,,"Atlanta, GA",Georgia,,UsapangPinoyGA@gmail.com,Filipino American,Filipino American,,English,Podcast,Podcast,Weekly,Local,Local,,,,
USArmenia TV,1997,https://usarmeniatv.com/,91203,"Glendale, CA",California,(818) 955-9933,info@usatv.com,Armenian American,Armenian American,,Armenian,Television,"Television,Website",24/7,National,"Local,National,Diasporic",,https://www.facebook.com/usarmtv,https://www.youtube.com/@usarmenia7329,
Uyghur News (Uyghur Academy USA),2018,https://akademiye.org/en/?cat=26,,"Washington, D.C.","Washington, D.C.",(571) 274-7266,uyghuracademy.america@gmail.com,Uyghur American,"Uyghur American,Chinese Diaspora,Central Asian American",Human Rights,"Turkish,Uyghur,English",Website,"Reports,Website",Daily,Diasporic,Diasporic,https://twitter.com/UyghurAcademyUS,https://www.facebook.com/UyghurAkademyUSA/,https://www.youtube.com/@uyghuracademy,
Uyghur Times,2018,https://uyghurtimes.com/,,"Washington, D.C.","Washington, D.C.",(571) 322-6286,info@uyghurtimes.com,Uyghur American,Uyghur American,Human Rights,"Uyghur,Mandarin,Turkish,Arabic,Russian,Japanese,German,English,French",Website,"Radio,Television,Podcast,Website,Reports",Daily,Diasporic,Diasporic,"https://x.com/uytimes

",https://www.facebook.com/UyghurTimesEnglish/,https://www.youtube.com/@uyghurtimes,
VAATV,2016,https://vaatv.com/,85213,"Mesa, AZ",Arizona,(480) 289-9816,vaatv@gmail.com,Vietnamese American,"Vietnamese American,Asian American",,"Vietnamese,English",Television,"Television,Website",Daily,Local,Local,https://twitter.com/vaatelevision,https://www.facebook.com/vaatelevision/,"https://www.youtube.com/@vaatv554
",verified
Vachakam,2020,https://www.vachakam.com/,60540,"Naperville, IL",Illinois,(773) 888-2243,vachakamonline@gmail.com,Indian American,Indian American,,Malayalam,Website,Website,Daily,Local,"Local,National,Diasporic",https://twitter.com/VachakamNews,https://www.facebook.com/vachakam/,https://www.youtube.com/@vachakamnews,
Vake Tali Folau Radio Tonga (Radio VTF): Hawaii,2010,http://www.radiotongavtfusa.com/radio_vtf_hawaii_maui,,"Maui, HI",Hawaii,(650) 297-9310,radiovtf@radiotongavtfusa.com,Tongan,"Tongan,Pacific Islander",,"Tongan,English",Radio,Radio,Daily,Local,"Local,Diasporic",,https://www.facebook.com/profile.php?id=100063644706745,,
Vake Tali Folau Radio Tonga (Radio VTF): Los Angeles / Victorville,2010,http://www.radiotongavtfusa.com/radio_vtf_los_angele,,"Los Angeles, CA",California,(817) 658-2182,radiovtf@radiotongavtfusa.com,Tongan,"Tongan,Pacific Islander",,"Tongan,English",Radio,Radio,Daily,Local,"Local,Diasporic",,https://www.facebook.com/people/Radio-Tonga-Vake-Tali-Folau-Los-Angeles/100079593451708/?paipv=0&eav=AfaxzrGNZS4oY2UbBOWKz9jt8y14zzdEGzsC0mt5I8NAduRSZQTGzieg67Iadpi61RI&_rdr,,
Vake Tali Folau Radio Tonga (Radio VTF): Provo / Salt Lake City,2010,http://www.radiotongavtfusa.com/radio_vtf_provo,,"Provo, UT",Utah,(650) 297-9310,lofatmatangi@gmail.com,Tongan,"Tongan,Pacific Islander",,"Tongan,English",Radio,Radio,Daily,Local,"Local,Diasporic",,https://www.facebook.com/profile.php?id=100064328599570,,
Vake Tali Folau Radio Tonga (Radio VTF): San Francisco,2010,http://www.radiotongavtfusa.com/,94010,"Burlingame, CA",California,(650) 297-9310,radiovtf@radiotongavtfusa.com,Tongan,"Tongan,Pacific Islander",,"Tongan,English",Radio,Radio,Daily,Local,"Local,Diasporic",,https://www.facebook.com/VakeTaliFolau/,https://www.youtube.com/@letiotongavaketalifolau1543,
Vake Tali Folau Radio Tonga (Radio VTF): Seattle (aka Voice of Tonga Seattle),1985,http://www.radiotongavtfusa.com/radio_vtf_seattle,98188,"Seattle, WA",Washington,(650) 297-9310,radiovtf@radiotongavtfusa.com,Tongan,"Tongan,Pacific Islander",,"Tongan,English",Radio,Radio,Daily,Local,"Local,Diasporic",,https://www.facebook.com/VoiceofTonga/,,
Vake Tali Folau Radio Tonga (Radio VTF): Texas,2010,http://www.radiotongavtfusa.com/radio_vtf_texas,,"Fort Worth, TX",Texas,(817) 400-1667,Radiovtf@radiotongavtfusa.com,Tongan,"Tongan,Pacific Islander",,"Tongan,English",Radio,Radio,Daily,Local,"Local,Diasporic",,https://www.facebook.com/VTFTexas/,,
Văn Hóa Online,2013,https://nhatbaovanhoa.com/,92683,"Westminster, CA",California,(714) 248-5448,contact@vaama.org,Vietnamese American,Vietnamese American,,Vietnamese,Website,"Newspaper,Newsletter,Website",Weekly,National,"Local,National",,https://www.facebook.com/vaamaorg,https://www.youtube.com/@vaamaorg,
Vatandosh Newspaper,2011,,10271,"Brooklyn, NY",New York,(212) 372-3050,,Uzbek American,"Uzbek American,Central Asian American",,Uzbek,Newspaper,"Newspaper,Website",Weekly,Local,"Local,Diasporic",,https://www.facebook.com/vatandosh,https://www.youtube.com/@vatandosh,
VBS Television Network (aka Vietnamese Broadcasting Services),2008,https://vbstelevision.com/,92683,"Westminster, CA",California,(714) 617-4133,vbstelevision2023@gmail.com,Vietnamese American,Vietnamese American,,Vietnamese,Television,"Television,Website",24/7,Local,"Local,National,Diasporic",,https://www.facebook.com/profile.php?id=100090705473645,https://www.youtube.com/@vbstelevision2023,
VCAL TV,2018,https://vcal.tv/,92683,"Westminster, CA",California,(714) 290-5902,VCAL5713@gmail.com,Vietnamese American,Vietnamese American,,Vietnamese,Television,"Television,Radio,Website",24/7,Local,"Local,National",,https://facebook.com/vcaltv,https://youtube.com/@VCALTV,
VIA Times News Magazine,1984,https://viatimes.net/,60656,"Chicago, IL",Illinois,(773) 866-0811,viatimes@comcast.net,Filipino American,Filipino American,,English,Magazine,"Magazine,Television,Website",Monthly,Local,Local,https://twitter.com/ViaTimesChicago,https://facebook.com/ViaTimesNewsmagazine/,https://www.youtube.com/@cprtvytchannel5509,
Vien Dong Daily News,1993,https://viendongdaily.com/,92683,"Westminster, CA",California,(714) 379-2851,,Vietnamese American,Vietnamese American,,Vietnamese,Newspaper,"Newspaper,Newsletter,Website",Daily,Local,Local,,https://www.facebook.com/profile.php?id=135585093142549&paipv=0&eav=AfYIdYQhnXSgr6MXPzrB_R3Ttv8ocNlBcArNHQ21UfsyFOl_oQC7D5IRK59BombcYZQ&_rdr,,
Viên Thao Radio KAZA 1290 AM,1992,https://www.vienthao.com/live.htm,95122,"San Jose, CA",California,(408) 947-7517,info@vienthao.com,Vietnamese American,Vietnamese American,,Vietnamese,Radio,Radio,Daily,Local,Local,,,,
Viên Thao TV,1989,https://vienthao.com/,95122,"San Jose, CA",California,(408) 947-7517,info@vienthao.com,Vietnamese American,Vietnamese American,,Vietnamese,Television,Television,Daily,Local,Local,,https://facebook.com/vienthao1982/,https://www.youtube.com/@VienThao,
Việt Báo Daily News,1992,https://vietbao.com/,92843,"Garden Grove, CA",California,(714) 894-2500,hangnguyen@vietbao.com,Vietnamese American,Vietnamese American,,Vietnamese,Newspaper,"Newspaper,Digital Newspaper,Website",Daily,Local,Local,https://twitter.com/vietbaoonline,https://www.facebook.com/vietbao7148942500,,
Viet Fact Check (Việt Kiểm Tin),2020,https://vietfactcheck.org/,90088,"Los Angeles, CA",California,,VietFactCheck@gmail.com,Vietnamese American,Vietnamese American,Fact-Checking,"Vietnamese,English",Newsletter,"Newsletter,Website",Bimonthly,National,National,https://twitter.com/vietfactcheck,https://www.facebook.com/vietfactcheck,,
Việt Nam Bắc Cali KSJX 1500 AM,1992,https://ksjx1500.com/,95116,"San Jose, CA",California,(415) 978-5378,vnamradio@yahoo.com,Vietnamese American,Vietnamese American,,Vietnamese,Radio,"Radio,Website",24/7,Local,Local,,https://raovathouston.com/danh-ba/the-loai/chi-tiet/36/magazine-newspaper?page=3,,
Việt NNN Weekly Newspaper (Tuần Báo Việt NNN),2011,https://vietnnn.com/,97206,"Portland, OR",Oregon,​(503) 593-6222,info@vietnnn.com,Vietnamese American,Vietnamese American,,Vietnamese,Newspaper,"Newspaper,Television,Radio,Website",Weekly,Local,Local,,https://www.facebook.com/VietnnnTV/,https://www.youtube.com/@vietnnn7108,
